CIK,CompanyName,Category,Assets,Liabilies,PretaxIncome_Dom,PretaxIncome_For,PropertyPlantEquip,Tax_For,Tax_Total,Mean_TH,Haven_Aggressiveness
6201,American Airlines Group Inc,"Transportation, Communications, Electric, Gas, And Sanitary Services",60580,60749,1884,NA,43249,29,472,0.4,2
706688,Aaron's Inc,Services,2826.692,1065.984,NA,NA,1532.762,0,55.994,0,1
1800,Abbott Laboratories,Manufacturing,67173,36451,-430,3303,7563,606,539,0.323,2
2098,Acme United Corp,Manufacturing,109.477,57.145,1.929,3.602,14.543,0.619,0.933,0.4,2
2178,Adams Resources & Energy Inc,Wholesale Trade,278.87,132.272,NA,NA,44.623,0,0.509,0,1
2488,Advanced Micro Devices,Manufacturing,4556,3290,114,214,348,-17,-9,0.316,2
3146,Alabama Gas Corp,"Transportation, Communications, Electric, Gas, And Sanitary Services",1616.2,807.5,NA,NA,1134.1,NA,81.6,0,1
766421,Alaska Air Group Inc,"Transportation, Communications, Electric, Gas, And Sanitary Services",10912,7161,NA,NA,6781,0,148,0,1
701288,Atrion Corp,Manufacturing,231.216,20.449,NA,NA,74.893,0,7.781,0,1
3453,Matson Inc,"Transportation, Communications, Electric, Gas, And Sanitary Services",2430.4,1675.1,NA,NA,1366.6,0,38.7,0.4,2
3499,Alexander's Inc,"Finance, Insurance, And Real Estate",1481.257,1196.165,NA,NA,0,NA,0.004,0,1
773840,Honeywell International Inc,Public Administration,57773,39408,2919,4568,5296,1177,659,0.294,2
4127,Skyworks Solutions Inc,Manufacturing,4828.9,731.9,712.2,619.9,1140.9,31.2,413.7,0.294,2
4447,Hess Corp,Mining,21433,10545,-219,439,16083,455,335,0.3,2
4515,American Airlines Inc,"Transportation, Communications, Electric, Gas, And Sanitary Services",70878,59108,NA,NA,42894,28,534,0.4,2
4457,Amerco,Services,11891.713,8199.324,466.175,11.354,7933.971,1.375,106.672,0.021,1
771497,Abm Industries Inc,Services,3627.5,2172.9,94.8,-7.1,140.1,3.9,-8.2,0.056,1
1475922,Primerica Inc,"Finance, Insurance, And Real Estate",12595.048,11133.535,337.914,78.17,35.996,36.028,91.99,0,1
742126,Us Ecology Inc,"Transportation, Communications, Electric, Gas, And Sanitary Services",947.898,588.681,46.147,18.711,258.443,4.746,15.263,0,1
4904,American Electric Power Co,"Transportation, Communications, Electric, Gas, And Sanitary Services",68802.8,49634.6,NA,NA,55099.1,NA,115.3,0,1
4962,American Express Co,"Finance, Insurance, And Real Estate",188602,166312,6696,1426,4416,681,1201,0.341,2
4977,Aflac Inc,"Finance, Insurance, And Real Estate",140406,116944,NA,NA,443,771,1063,0.111,1
5272,American International Group,"Finance, Insurance, And Real Estate",491984,434675,-12,269,2172,202,154,0.367,2
904163,American National Insurance,"Finance, Insurance, And Real Estate",26912.353,21640.838,NA,NA,109.472,0,1.445,0,1
1102238,American Realty Investors,"Finance, Insurance, And Real Estate",826.149,505.022,NA,NA,381.043,0,1.21,0.143,1
713425,American Software  -Cl A,Services,161.31,46.703,NA,NA,3.585,NA,0.838,0,1
1037868,Ametek Inc,Manufacturing,8662.288,4420.366,555.077,432.668,554.13,51.686,209.812,0.255,2
318154,Amgen Inc,Manufacturing,66416,53916,4856,4689,4958,227,1151,0.5,3
6176,Ampco-Pittsburgh Corp,Manufacturing,571.119,478.15,-48.169,4.362,185.661,0.839,0.268,0.222,2
6281,Analog Devices,Manufacturing,20449.779,9461.239,590.19,1048.327,1154.328,47.633,143.085,0.379,2
6494,Andrea Electronics Corp,Manufacturing,1.519,1.951,-0.956,0.013,0.055,0.002,0.002,0.5,3
821026,Andersons Inc,Wholesale Trade,2392.003,1515.239,46.678,6.478,998.496,1.138,11.931,0.1,1
1163739,Nabors Industries Ltd,Mining,7853.944,4698.757,-119.419,-399.375,5467.87,32.928,79.269,0,1
6769,Apache Corp,Mining,21582,12770,-723,1681,18421,895,672,0.417,3
6845,Apogee Enterprises Inc,Manufacturing,1068.168,571.851,60.042,-1.38,315.823,-0.459,12.968,0.182,1
6879,Appalachian Power,"Transportation, Communications, Electric, Gas, And Sanitary Services",12290.5,8284.4,NA,NA,10668.3,NA,-44.9,0,1
320193,Apple Inc,Manufacturing,365725,258578,24903,48000,41304,3986,13372,0.4,2
6951,Applied Materials Inc,Manufacturing,17773,10934,439,4255,1407,126,1381,0.375,2
6955,Actuant Corp  -Cl A,Manufacturing,1481.338,922.626,-11.325,-1.347,90.22,12.532,8.976,0.258,2
352991,Advanced Oxygen Technology,"Finance, Insurance, And Real Estate",0.688,0.38,NA,NA,0.633,0.008,0.008,0,1
7084,Archer-Daniels-Midland Co,Manufacturing,40833,21788,972,1088,9953,171,245,0.389,2
894405,Arcbest Corp,"Transportation, Communications, Electric, Gas, And Sanitary Services",1539.231,821.549,84.386,NA,631.188,2.238,17.124,0.286,2
7323,Entergy Arkansas,"Transportation, Communications, Electric, Gas, And Sanitary Services",10401.596,7418.493,NA,NA,7210.556,NA,-297.067,0,1
7536,Arrow Electronics Inc,Wholesale Trade,17784.445,12408.079,186.677,722.696,824.7,178.767,187.799,0.274,2
1674862,Ashland Global Holdings Inc,Manufacturing,8252,4846,-163,277,1899,78,9,0.277,2
8146,Astronova Inc,Manufacturing,118.983,49.208,6.859,0.449,10.38,0.952,1.578,0.167,1
8063,Astronics Corp,Manufacturing,774.64,388.015,44.982,7.3,120.862,1.123,5.479,0.286,2
744187,Rex American Resources Corp,Manufacturing,471.393,26.122,NA,NA,182.521,0,-22.922,0,1
769397,Autodesk Inc,Services,4729.2,4940.1,-224.1,181.4,149.7,65.3,38.1,0.324,2
8670,Automatic Data Processing,Services,37088.7,33629.1,1849.8,321.3,793.7,105.5,550.3,0.143,1
8818,Avery Dennison Corp,Manufacturing,5177.5,4222.4,-7.3,562.1,1137.4,134.3,85.4,0,1
8858,Avnet Inc,Wholesale Trade,9596.845,4911.764,-385.1,530.177,522.909,104.156,287.966,0.224,2
8868,Avon Products,Manufacturing,3010,3414.7,39.3,68.8,570.2,182.3,129.9,0.306,2
8947,Azz Inc,Manufacturing,1088.57,484.842,48.261,14.744,256.097,2.829,11.797,0.143,1
9092,Badger Meter Inc,Manufacturing,392.691,89.188,31.584,4.268,90.321,1.468,8.062,0.111,1
9326,Balchem Corp  -Cl B,Manufacturing,981.355,289.737,NA,NA,194.339,4.06,20.457,0.167,1
9346,Protective Insurance Corp,"Finance, Insurance, And Real Estate",1490.131,1134.049,NA,NA,46.645,0,-9.797,0.5,3
9389,Ball Corp,Manufacturing,16554,12992,193,440,4542,115,185,0.298,2
763901,Popular Inc,"Finance, Insurance, And Real Estate",47604.577,42169.52,NA,NA,569.808,NA,119.579,0.333,2
46195,Bank Of Hawaii Corp,"Finance, Insurance, And Real Estate",17143.974,15875.774,NA,NA,151.837,NA,50.624,0,1
1390777,Bank Of New York Mellon Corp,"Finance, Insurance, And Real Estate",362873,322005,NA,NA,1832,NA,938,0.273,2
9984,Barnes Group Inc,Manufacturing,2808.97,1605.914,-10.719,218.214,370.531,57.871,41.309,0.258,2
10048,Barnwell Industries,Mining,31.378,15.139,-2.449,0.078,16.461,-0.56,-0.601,0,1
10456,Baxter International Inc,Manufacturing,15641,7825,16,1677,4542,310,63,0.357,2
109563,Applied Industrial Tech Inc,Wholesale Trade,2285.741,1470.778,186.874,17.844,121.343,5.309,63.093,0.176,1
10795,Becton Dickinson & Co,Manufacturing,53904,32910,-135,1308,5375,386,862,0.319,2
729580,Bel Fuse Inc,Manufacturing,443.524,267.054,0.3,23.316,43.932,3.782,2.907,0.429,3
732712,Verizon Communications Inc,"Transportation, Communications, Electric, Gas, And Sanitary Services",264829,210119,19801,-178,89286,267,3584,0.25,2
11199,Bemis Co Inc,Manufacturing,3571,2355.1,201.7,84,1250.3,22.3,60,0.259,2
1067983,Berkshire Hathaway,Public Administration,707794,355294,NA,NA,166706,1117,-321,0.167,1
764478,Best Buy Co Inc,Retail Trade,12901,9595,1574,314,2510,64,424,0.294,2
12208,Bio-Rad Laboratories Inc,Manufacturing,5611.068,1590.737,363.359,149.3,508.69,30.545,147.045,0.25,2
720762,Non Invasive Monitor,Manufacturing,0.11,3.788,NA,NA,0,0,0,0,1
1130464,Black Hills Corp,"Transportation, Communications, Electric, Gas, And Sanitary Services",6963.327,4675.904,NA,NA,4854.879,NA,-23.667,0.167,1
12659,Block H & R Inc,Services,3299.945,2758.418,389.319,155.841,212.092,6.711,99.904,0.077,1
314808,Ensco Rowan Plc,Mining,14023.7,5934.9,NA,NA,12616.2,NA,89.6,0.567,3
12927,Boeing Co,Manufacturing,117359,116949,11166,438,12645,169,1144,0.375,2
315213,Robert Half Intl Inc,Services,1903.097,839.899,485.489,106.113,125.176,35.007,157.314,0.261,2
13239,Hexion Inc,Manufacturing,1961,4875,-195,69,841,26,40,0.25,2
1393066,Resolute Forest Products Inc,Manufacturing,3935,2400,-90,477,1515,-12,152,0.143,1
746598,Brady Corp,Manufacturing,1056.931,304.819,48.903,103.112,97.945,26.593,60.955,0.222,2
14177,Bridgford Foods Corp,Manufacturing,101.494,35.814,NA,NA,32.638,0,6.296,0,1
14195,Briggs & Stratton,Manufacturing,1443.966,873.542,-5.35,16.451,422.08,3.556,22.421,0.182,1
14272,Bristol-Myers Squibb Co,Manufacturing,34986,20859,2338,3630,5027,450,1021,0.355,2
14693,Brown Forman Corp,Manufacturing,5139,3492,863,179,816,34,207,0.121,1
14707,Caleres Inc,Manufacturing,1838.568,1203.133,40,-45.754,230.784,-7.243,-0.273,0.357,2
14930,Brunswick Corp,Manufacturing,4285.7,2703.1,227.5,94.7,805.3,29.1,59.1,0.2,1
1104657,Materion Corp,Manufacturing,800.341,246.435,20.272,-3.93,251.018,2.71,-4.504,0.263,2
15615,Mastec Inc,Construction,4439.953,3047.929,341.103,24.2,747.808,9.4,106.072,0,1
746838,Unisys Corp,Services,2457.6,3757.2,-53.6,196.8,121.3,51.4,64.3,0,1
733269,Liveramp Holdings Inc,Services,1472.911,142.079,-174.867,-4.489,26.043,0.323,-45.409,0.385,2
20629,Css Industries Inc,Manufacturing,285.595,95.664,-48.233,2.792,50.92,1.425,8.104,0.222,2
21175,Cna Financial Corp,"Finance, Insurance, And Real Estate",57152,45935,942,22,324,5,151,0.375,2
26058,Cts Corp,Manufacturing,548.341,170.412,30.815,27.288,99.401,12.538,11.571,0.3,2
320121,Telos Corp/Md,Services,74.489,206.592,NA,NA,17.426,0,0.031,0.5,3
16040,Cabot Corp,Manufacturing,3244,1965,-229,346,1296,88,193,0.303,2
1035201,California Water Service Gp,"Transportation, Communications, Electric, Gas, And Sanitary Services",2837.704,2107.547,81.456,0,2220.873,0,15.872,0,1
16732,Campbell Soup Co,Manufacturing,14529,13156,143,129,3233,47,11,0.367,2
16875,Canadian Pacific Railway Ltd,"Transportation, Communications, Electric, Gas, And Sanitary Services",21254,14618,1788,800,18418,45,637,0,1
16918,Constellation Brands,Manufacturing,29231.5,16394.3,1615.9,2529.1,5267.3,239.2,685.9,0.231,2
202947,Capital Properties Inc,"Finance, Insurance, And Real Estate",8.527,1.454,NA,NA,6.951,0,0.192,0,1
721371,Cardinal Health Inc,Wholesale Trade,39951,33880,391,-619,2487,143,-487,0.229,2
790051,Carlisle Cos Inc,Manufacturing,5249.2,2651.8,352.2,93.7,760.1,25.9,87.3,0,1
1094093,Progress Energy Inc,"Transportation, Communications, Electric, Gas, And Sanitary Services",52664,38407,NA,NA,34224,NA,218,0.038,1
17843,Carpenter Technology Corp,Manufacturing,3007,1521.1,140.3,19.9,1313.4,6.7,-28.3,0,1
18172,Castle (A M) & Co,Wholesale Trade,330.392,339.753,-48.194,6.27,53.2,1.986,-4.779,0.2,1
18230,Caterpillar Inc,Manufacturing,78509,64429,2131,5691,13574,1291,1698,0.263,2
18255,Cato Corp  -Cl A,Retail Trade,497.906,181.07,NA,NA,94.304,1.371,2.59,0.167,1
740664,R F Industries Ltd,Manufacturing,32.502,4.719,NA,NA,0.559,0,1.468,0,1
18926,Centurylink Inc,"Transportation, Communications, Electric, Gas, And Sanitary Services",70256,50428,NA,NA,26408,36,170,0.244,2
19411,Magellan Health Inc,Services,2979.056,1693.753,NA,NA,150.748,0,19.013,0.071,1
19446,Cantel Medical Corp,Manufacturing,963.708,354.841,115.697,1.816,111.417,4.626,26.472,0.278,2
19617,Jpmorgan Chase & Co,"Finance, Insurance, And Real Estate",2622532,2366017,NA,NA,14934,NA,8290,0.125,1
19745,Chesapeake Utilities Corp,"Transportation, Communications, Electric, Gas, And Sanitary Services",1693.671,1175.232,NA,NA,1383.972,NA,20.994,0,1
93410,Chevron Corp,Manufacturing,253863,98221,4730,15845,169207,4662,5715,0.4,2
313927,Church & Dwight Inc,Manufacturing,6069.2,3615.4,671.8,47.7,598.2,13,150.9,0,1
20212,Churchill Downs Inc,Services,1725.2,1251.9,234.2,-0.3,757.5,0,51.3,0.056,1
716133,Cincinnati Bell Inc,"Transportation, Communications, Electric, Gas, And Sanitary Services",2730.2,2805.2,NA,NA,1844,1.6,9.4,0,1
20290,Duke Energy Ohio Inc,"Transportation, Communications, Electric, Gas, And Sanitary Services",8555,5110,NA,NA,6643,NA,43,0.038,1
1400891,Iheartmedia Inc,"Transportation, Communications, Electric, Gas, And Sanitary Services",12269.515,23829.857,-134.893,-21.395,1791.14,18.535,46.351,0.325,2
764065,Cleveland-Cliffs Inc,Mining,3529.6,3105.4,565,-0.3,1286,0.7,-475.2,0.25,2
21076,Clorox Co/De,Manufacturing,5060,4334,963,91,996,43,231,0.421,3
317540,Coca Cola Consolidated Inc,Manufacturing,3009.928,2554.762,NA,NA,1014.252,0,1.869,0.2,1
21344,Coca-Cola Co,Manufacturing,83216,64158,888,7462,8232,1337,1623,0.28,2
215466,Coeur Mining Inc,Mining,1712.5,859.988,-50.522,-15.213,1270.018,25.576,-16.78,0.143,1
21510,Coherent Inc,Manufacturing,2259.969,945.505,65.272,296.283,311.793,107.487,114.195,0.348,2
21665,Colgate-Palmolive Co,Manufacturing,12161,11964,1175,2289,3881,658,906,0.333,2
830524,Chase Corp,Manufacturing,316.469,69.713,48.962,8.003,32.845,1.761,13.822,0.125,1
315293,Aon Plc,"Finance, Insurance, And Real Estate",26422,22203,-240,1486,588,350,146,0.336,2
1166691,Comcast Corp,"Transportation, Communications, Electric, Gas, And Sanitary Services",251684,177866,NA,NA,44437,425,3380,0.148,1
28412,Comerica Inc,"Finance, Insurance, And Real Estate",70818,63311,NA,NA,475,NA,300,0.286,2
22356,Commerce Bancshares Inc,"Finance, Insurance, And Real Estate",25463.842,22526.693,NA,NA,333.119,NA,105.949,0,1
831001,Citigroup Inc,"Finance, Insurance, And Real Estate",1917383,1720309,7345,16100,NA,4290,5357,0.393,2
22444,Commercial Metals,Manufacturing,3328.304,1834.721,86.731,78.653,1075.038,NA,30.147,0.353,2
22701,Communications Systems Inc,Manufacturing,53.321,11.668,NA,NA,10.962,0.249,0.405,0.167,1
723612,Avis Budget Group Inc,Services,19149,18735,114,153,12210,59,102,0.25,2
1688568,Dxc Technology Co,Services,29574,17849,511,1004,3179,218,288,0.286,2
23111,Computer Task Group Inc,Services,124.121,59.893,-1.119,3.388,5.656,1.937,5.086,0.111,1
23197,Comtech Telecommun,Manufacturing,845.157,339.473,22.243,2.383,28.987,0.429,-5.143,0.25,2
23217,Conagra Brands Inc,Manufacturing,22213.8,14750.1,NA,NA,2395.3,NA,218.8,0,1
718332,Rave Restaurant Group Inc,"Finance, Insurance, And Real Estate",10.986,4.687,NA,NA,1.51,0.051,-3.322,0,1
1549346,Shutterstock Inc,Services,531.488,244.821,68.596,-2.483,76.188,5.226,11.426,0.3,2
23426,Connecticut Light & Power Co,"Transportation, Communications, Electric, Gas, And Sanitary Services",11409.719,7094.202,NA,NA,8909.701,NA,129.056,0,1
276209,Connecticut Water Svc Inc,"Transportation, Communications, Electric, Gas, And Sanitary Services",951.869,657.733,NA,NA,739.793,0,-2.182,0,1
733590,Transcontinental Rlty Invs,"Finance, Insurance, And Real Estate",862.38,481.979,NA,NA,0,0,3.21,0,1
23795,Consolidated Tomoka Land Co,"Finance, Insurance, And Real Estate",556.33,344.569,NA,NA,368.751,0,14.163,0,1
24104,Continental Materials Corp,Manufacturing,75.703,26.927,NA,NA,17.171,0,-2.185,0,1
24545,Molson Coors Brewing Co,Manufacturing,30109.8,16374,1320.4,39.4,4608.3,38.7,225.2,0.222,2
24741,Corning Inc,Manufacturing,27505,13619,472,1031,14895,196,437,0.35,2
25232,Cousins Properties Inc,"Finance, Insurance, And Real Estate",4146.296,1325.14,NA,NA,NA,0,0,0,1
1067294,Cracker Barrel Old Ctry Stor,Retail Trade,1527.355,945.574,NA,NA,1149.135,0,30.803,0,1
25445,Crane Co,Manufacturing,4042.7,2515.6,296.4,115,599.1,14,75.9,0.333,2
25475,Crawford & Co,"Finance, Insurance, And Real Estate",701.442,520.496,4.634,39.497,34.303,9.53,18.542,0.167,1
1584207,Onemain Holdings Inc,"Finance, Insurance, And Real Estate",20090,16291,610,14,133,3,177,0.042,1
1219601,Crown Holdings Inc,Manufacturing,15262,13976,21,719,3745,NA,216,0.279,2
26076,Cubic Corp,Manufacturing,1304.883,580.687,-51.049,65.935,117.546,19.882,7.093,0,1
39263,Cullen/Frost Bankers Inc,"Finance, Insurance, And Real Estate",32292.966,28924.049,NA,NA,552.33,NA,53.763,0,1
723603,Culp Inc,Manufacturing,219.726,55.479,NA,NA,48.389,NA,6.424,0.4,2
26172,Cummins Inc,Manufacturing,19062,10803,1239,1514,4096,348,566,0.288,2
26324,Curtiss-Wright Corp,Manufacturing,3255.385,1724.604,217.374,138.865,374.66,25.285,80.49,0,1
30697,Wendy's Co,Retail Trade,4292.035,3643.586,560.776,14.14,1213.236,9.63,114.801,0.25,2
313616,Danaher Corp,Manufacturing,47832.5,19605.8,914.2,2378.6,2511.2,494.3,641.9,0.227,2
277638,Davey Tree Expert Co,Services,526.623,364.213,37.377,0.119,202.285,0.05,9.519,0,1
315189,Deere & Co,Manufacturing,70108,58802.8,2275,1796,13032.9,392,1726.9,0.158,1
27904,Delta Air Lines Inc,"Transportation, Communications, Electric, Gas, And Sanitary Services",60266,46579,NA,NA,34329,13,1216,0.143,1
936340,Dte Energy Co,"Transportation, Communications, Electric, Gas, And Sanitary Services",36288,25571,NA,NA,21650,NA,98,0,1
730464,Adtalem Global Education Inc,Services,2344.961,816.565,63.353,135.192,388.654,7.831,84.102,0.45,3
939930,Pyxus International Inc,Wholesale Trade,1859.275,1667.256,-86.315,43.398,276.396,22.741,37.84,0.379,2
28823,Diebold Nixdorf Inc,Manufacturing,4311.9,4341.1,-300.9,-214.7,304.1,49,37.2,0.339,2
722313,Nortech Systems Inc,Manufacturing,59.96,38.87,-1.09,1.582,10.178,0.334,0.326,0.667,4
28917,Dillards Inc  -Cl A,Retail Trade,3431.369,1752.988,NA,NA,1586.733,0,37.73,0.167,1
29002,Diodes Inc,Manufacturing,1526.371,548.939,-24.141,174.103,446.835,42.726,44.556,0.545,3
29332,Dixie Group Inc,Manufacturing,252.778,193.794,NA,NA,84.111,0,-0.831,1,5
29534,Dollar General Corp,Retail Trade,13204.038,6786.645,NA,NA,2970.806,0.159,425.944,0.286,2
715957,Dominion Energy Inc,"Transportation, Communications, Electric, Gas, And Sanitary Services",77914,55866,NA,NA,54560,NA,580,0,1
29644,Donaldson Co Inc,Manufacturing,1976.6,1118.8,103.2,260.4,509.3,71,183.3,0.312,2
29669,Donnelley (R R) & Sons Co,Manufacturing,3640.8,3886.2,-56.4,84.7,531.3,24.5,37.9,0.259,2
29905,Dover Corp,Manufacturing,8365.771,5597.105,344.793,380.585,806.497,86.523,134.233,0.257,2
1666700,Dupont  De Nemours Inc,Manufacturing,188030,91851,230,5263,35848,1970,1489,0.275,2
29989,Omnicom Group,Services,24617,21265.8,643.7,1280.6,694.4,305.2,492.7,0.286,2
1498301,Ascena Retail Group Inc,Retail Trade,3570.5,2772,-115.1,33.6,1205.3,5.5,-41.8,0.235,2
30305,Ducommun Inc,Manufacturing,648.143,391.318,10.271,NA,107.045,0,1.236,0.125,1
1326160,Duke Energy Corp,"Transportation, Communications, Electric, Gas, And Sanitary Services",145392,101558,NA,NA,91694,NA,448,0.038,1
30625,Flowserve Corp,Manufacturing,4616.277,2955.497,88.674,87.6,610.096,36.897,51.224,0.152,1
30831,Dynasil Corp Of America,Manufacturing,31.532,9.204,-0.067,0.049,8.098,-0.032,-1.608,0.25,2
31791,Perkinelmer Inc,Manufacturing,5975.522,3390.567,32.627,225.056,318.59,61.028,20.208,0.25,2
31235,Eastman Kodak Co,Manufacturing,1511,1341,-46,33,246,4,-4,0.353,2
1551182,Eaton Corp Plc,Manufacturing,31092,14950,-365,2789,3467,370,278,0.339,2
350797,Eaton Vance Corp,"Finance, Insurance, And Real Estate",3599.328,2155.8,NA,NA,52.428,0,156.703,0,1
31462,Ecolab Inc,Manufacturing,20074.5,12020.9,728.3,1076.3,3836,175.7,364.3,0.32,2
32604,Emerson Electric Co,Manufacturing,20390,11400,1652,1015,3562,300,443,0.253,2
1603923,Weatherford Intl Plc,Mining,6601,10267,NA,NA,2086,NA,34,0.375,2
731802,Atmos Energy Corp,"Transportation, Communications, Electric, Gas, And Sanitary Services",11874.437,7104.486,NA,NA,10371.147,NA,8.08,0.167,1
33002,Ennis Inc,Manufacturing,363.085,73.958,NA,NA,53.134,0,12.497,0,1
727510,Enzon Pharmaceuticals Inc,Manufacturing,15.51,0.517,NA,NA,0,NA,0.006,0,1
33185,Equifax Inc,Services,7153.2,3997.5,339.6,16.7,764.8,31.5,50,0.296,2
33213,Eqt Corp,"Transportation, Communications, Electric, Gas, And Sanitary Services",20721.344,9763.115,NA,NA,17392.507,NA,-696.511,0,1
33488,Escalade Inc,Manufacturing,149.527,21.206,NA,NA,15.498,0,6,0.25,2
1282637,Newmarket Corp,Manufacturing,1697.274,1207.367,157.459,132.826,644.138,27.192,55.551,0.294,2
746515,Expeditors Intl Wash Inc,"Transportation, Communications, Electric, Gas, And Sanitary Services",3314.559,1326.839,313.178,505.151,504.105,151.312,198.539,0.323,2
34067,Dmc Global Inc,Manufacturing,240.418,106.132,9.399,25.208,95.14,6.972,4.134,0.286,2
34088,Exxon Mobil Corp,Manufacturing,346196,147668,5200,25753,247101,9460,9532,0.241,2
37785,Fmc Corp,Manufacturing,9974.3,6763.9,-214.5,958.2,1032.6,112.5,88.8,0.333,2
753308,Nextera Energy Inc,"Transportation, Communications, Electric, Gas, And Sanitary Services",103702,65821,NA,NA,70334,NA,1576,0.333,2
1048911,Fedex Corp,"Transportation, Communications, Electric, Gas, And Sanitary Services",54403,36646,NA,NA,30429,NA,115,0,1
34903,Federal Realty Investment Tr,"Finance, Insurance, And Real Estate",6289.644,3686.106,NA,NA,NA,0,0,0.143,1
277509,Federal Signal Corp,Manufacturing,1023.8,493.7,100.6,11,158.6,-0.1,17.9,0.091,1
794367,Macy's Inc,Retail Trade,19194,12758,NA,NA,6637,0,322,0.4,2
35214,Ferro Corp,Manufacturing,1812.46,1426.611,2.233,101.759,381.341,26.156,23.046,0.258,2
320017,Caladrius Biosciences Inc,Manufacturing,44.58,7.126,-16.168,0,0.165,0,0,0,1
35527,Fifth Third Bancorp,"Finance, Insurance, And Real Estate",146069,129819,NA,NA,2379,NA,572,0.111,1
36146,Trustmark Corp,"Finance, Insurance, And Real Estate",13286.46,11695.007,NA,NA,178.668,NA,22.269,0,1
36104,U S Bancorp,"Finance, Insurance, And Real Estate",467374,415717,NA,NA,2457,NA,1554,0.192,1
36966,First Horizon National Corp,"Finance, Insurance, And Real Estate",40832.258,36046.878,NA,NA,494.041,NA,157.602,0,1
37472,Flexsteel Industries Inc,Manufacturing,284.293,42.595,25.126,NA,90.725,0,7.46,0.2,1
37634,Florida Power & Light Co,"Transportation, Communications, Electric, Gas, And Sanitary Services",53484,32470,NA,NA,41499,NA,539,0.333,2
37637,Duke Energy Florida Inc,"Transportation, Communications, Electric, Gas, And Sanitary Services",18801,12706,NA,NA,13824,NA,101,0.038,1
1128928,Flowers Foods Inc,Manufacturing,2845.537,1587.27,NA,NA,743.847,0,40.001,0,1
1124198,Fluor Corp,Construction,8913.637,5795.587,-194.352,676.104,1013.732,113.988,188.794,0.277,2
37996,Ford Motor Co,Manufacturing,256540,220474,2051,2294,65297,690,650,0.176,1
352825,Foster (Lb) Co,Wholesale Trade,383.249,261.13,-34.608,7.897,86.857,3.675,4.457,0,1
38725,Franklin Electric Co Inc,Manufacturing,1182.365,446.02,54.7,65.707,207.064,14.29,14.89,0.25,2
38777,Franklin Resources Inc,"Finance, Insurance, And Real Estate",14383.5,3132,1458.1,757.1,535,141.1,1472.5,0.433,3
40211,Gatx Corp,"Transportation, Communications, Electric, Gas, And Sanitary Services",7616.7,5828.6,108.9,86.2,6583.8,17.5,34.1,0.333,2
354190,Arthur J Gallagher & Co,"Finance, Insurance, And Real Estate",16334,11764.3,337.6,141.8,436.9,60.7,-196.5,0.295,2
39899,Tegna Inc,"Transportation, Communications, Electric, Gas, And Sanitary Services",5276.842,3935.918,508.707,0,375.215,0,107.367,0,1
39911,Gap Inc,Retail Trade,8049,4496,1183,139,2912,49,319,0.412,3
40888,Aerojet Rocketdyne Holdings,Manufacturing,2490.1,2068.8,NA,NA,399.7,0,51.3,0.125,1
40533,General Dynamics Corp,Manufacturing,45408,33676,NA,NA,4348,95,727,0.143,1
40545,General Electric Co,Public Administration,309129,257266,-10198,-9936,50749,1859,583,0.25,2
40704,General Mills Inc,Manufacturing,30111.2,22191.8,NA,NA,3787.2,NA,367.8,0.172,1
40729,Ally Financial Inc,"Finance, Insurance, And Real Estate",178869,165601,NA,NA,8981,5,359,0,1
1467858,General Motors Co,Manufacturing,227339,184562,4433,1953,82317,577,474,0.333,2
88205,Spx Corp,Manufacturing,2057.5,1642.6,69.6,10,184.2,-3.2,1.4,0.286,2
355811,Gentex Corp,Manufacturing,2085.434,223.682,522.047,NA,498.474,1.777,84.164,0.2,1
1052752,Getty Realty Corp,"Finance, Insurance, And Real Estate",1159.175,578.011,NA,NA,NA,0,0,0.25,2
41719,Glatfelter,Manufacturing,1339.754,800.856,-59.264,66.539,556.044,14.985,7.723,0.273,2
42316,Goldfield Corp,Construction,112.548,52.943,6.825,0,53.607,0,1.797,0,1
42682,Gorman-Rupp Co,Manufacturing,368.282,75.15,45.271,5.045,113.493,1.179,10.337,0.182,1
1498542,Cole Real Estate Incm Strtgy,"Finance, Insurance, And Real Estate",885.857,396.865,5.195,0,0,0,0,0,1
1045309,Grace (W R) & Co,Manufacturing,3565.3,3228.3,82.2,162.7,1011.7,49.9,78.1,0.152,1
42888,Graco Inc,Manufacturing,1472.741,720.868,310.999,99.767,229.295,23.118,69.712,0.238,2
716314,Graham Corp,Manufacturing,156.27,57.304,-0.256,0.111,17.071,0,0.163,0.5,3
277135,Grainger (W W) Inc,Wholesale Trade,5873,3780,1163,-82,1352,47,258,0.25,2
43920,Greif Inc  -Cl A,Manufacturing,3194.8,1996.5,197.5,102.3,1191.9,36.1,73.3,0.222,2
1273931,Moneygram International Inc,"Finance, Insurance, And Real Estate",4296.1,4564.9,-49.6,38.7,193.9,-4,13.1,0.269,2
45012,Halliburton Co,Mining,25982,16438,1097,717,8961,428,157,0.429,3
202058,Harris Corp,Manufacturing,9839,6517,883,43,900,12,205,0.188,1
45876,Harsco Corp,Manufacturing,1632.867,1319.491,69.125,88.129,469.9,18.014,12.899,0.275,2
46080,Hasbro Inc,Manufacturing,5262.988,3508.502,6.293,264.109,256.473,42.613,49.968,0.333,2
731012,Healthcare Services Group,Services,692.603,251.823,NA,NA,12.9,0,16.386,1,5
766704,Welltower Inc,"Finance, Insurance, And Real Estate",30342.072,14331.427,NA,NA,NA,9.804,8.674,0.074,1
