CIK,CompanyName,Category,Assets,Liabilies,PretaxIncome_Dom,PretaxIncome_For,PropertyPlantEquip,Tax_For,Tax_Total,Mean_TH,Haven_Aggressiveness
1578735,National General Holdings Cp,"Finance, Insurance, And Real Estate",9439.28,7238.409,201.083,19.925,308.004,1.376,53.484,0.08,1
1023024,Ani Pharmaceuticals Inc,Manufacturing,430.604,233.341,NA,NA,38.09,0,4.557,0,1
712537,First Commonwlth Finl Cp/Pa,"Finance, Insurance, And Real Estate",7828.255,6852.866,NA,NA,80.474,NA,25.274,0,1
1556364,Owens Realty Mortgage Inc,"Finance, Insurance, And Real Estate",209.07,17.712,NA,NA,NA,NA,0.559,0,1
771999,Document Security Sys Inc,Services,15.28,7.706,NA,NA,5.015,0,0.017,0.25,2
1567683,Clearway Energy Inc,"Transportation, Communications, Electric, Gas, And Sanitary Services",8500,6276,NA,NA,5245,NA,62,0,1
1580608,Santander Consumer Usa Hldgs,"Finance, Insurance, And Real Estate",43959.855,36941.497,1189.612,2.656,14040.135,0.11,276.342,0.333,2
1665918,Us Foods Holding Corp,Wholesale Trade,9186,5957,NA,NA,1842,0,89,0,1
1356090,Intrexon Corp,Manufacturing,716.177,337.455,-443.337,-92.897,128.874,-0.332,-21.528,0.312,2
1424929,Fox Factory Holding Cp,Manufacturing,485.254,149.767,63.138,27.752,64.788,7.248,5.523,0.125,1
1575051,Ciner Resources Lp,Mining,434.6,174.5,NA,NA,266.7,0,0,0,1
1581068,Brixmor Property Group Inc,"Finance, Insurance, And Real Estate",8242.421,5406.322,NA,NA,13.771,NA,2.641,0.111,1
723646,Franklin Financial Svcs Corp,"Finance, Insurance, And Real Estate",1209.587,1091.191,NA,NA,13.521,NA,-0.165,0,1
870385,Carolina Financial Corp,"Finance, Insurance, And Real Estate",3790.748,3215.463,NA,NA,60.866,NA,12.769,0,1
1576018,Third Point Reinsurance Ltd,"Finance, Insurance, And Real Estate",3086.234,1881.66,-273.697,-47.782,0,6.025,-4.01,0.333,2
1433270,Antero Resources Corp,Mining,15519.464,7031.987,NA,NA,13869.915,0,-128.857,0,1
1581990,Plains Gp Holdings Lp,Wholesale Trade,26830,13511,NA,NA,14802,63,302,0,1
1579252,Jason Industries Inc,Manufacturing,503.597,517.537,-33.179,17.914,134.869,5.784,4.052,0.25,2
1370880,Fireeye Inc,Services,2696.078,2045.684,-119.886,-117.713,89.163,6.502,5.524,0.4,2
1466085,Independence Realty Trust,"Finance, Insurance, And Real Estate",1659.336,1029.291,NA,NA,NA,0,0,0,1
1573516,Murphy Usa Inc,Retail Trade,2360.8,1553.5,NA,NA,1748.2,0,60.3,0,1
706129,Horizon Bancorp Inc,"Finance, Insurance, And Real Estate",4246.688,3754.696,NA,NA,74.331,NA,10.443,0,1
1364954,Chegg Inc,Services,760.938,350.304,-18.617,5.159,59.904,1.374,1.43,0.429,3
1577368,Qts Realty Trust Inc,"Finance, Insurance, And Real Estate",2861.969,1565.282,NA,NA,48.8,0.078,-3.368,0,1
1581091,Re/Max Holdings Inc,"Finance, Insurance, And Real Estate",426.84,347.565,52.798,13.366,4.39,3.818,15.799,0,1
1477009,General Cannabis Corp,Services,10.742,6.191,NA,NA,1.463,0,0,0,1
1577916,Premier Inc,Wholesale Trade,2312.216,818.87,NA,NA,206.693,0,259.234,0,1
1384905,Ringcentral Inc,Services,894.326,576.717,-29.584,3.521,70.205,0.382,0.14,0.429,3
1584952,Ep Energy Corp,Mining,4181,4780,-1003,0,3774,0,0,0,1
876378,Transenterix Inc,Manufacturing,239.307,70.786,-44.744,-20.41,6.337,0,-3.377,0.333,2
1579298,Burlington Stores Inc,Retail Trade,3079.172,2756.462,503.29,4.294,1253.705,1.671,92.839,0.286,2
1561660,Pattern Energy Group Inc,"Transportation, Communications, Electric, Gas, And Sanitary Services",5294,3135,-158,121,4378,16,32,0.25,2
1571123,Science Applications Intl Cp,Services,4563,3064,NA,NA,103,0,33,0,1
1448893,Essent Group Ltd,"Finance, Insurance, And Real Estate",3149.971,784.254,NA,NA,7.629,28.644,79.336,0.25,2
1576427,Criteo Sa,Services,1597.135,629.244,130.723,11.3,184.013,17.078,46.144,0.4,2
1434110,Pledge Petroleum Corp,Manufacturing,0.171,0.103,NA,NA,0.004,NA,NA,0,1
1575965,Gaming & Leisure Pptys,"Finance, Insurance, And Real Estate",8577.293,6311.686,NA,NA,100.884,0,4.964,0,1
1195734,Potbelly Corp,Retail Trade,153.215,57.682,-11.381,0.637,87.782,0.02,-2.195,0,1
1411688,Container Store Group,Retail Trade,748.744,484.051,14.397,7.564,152.588,1.16,0.281,0,1
819926,Sharing Economy Intl Inc,Manufacturing,46.343,10.906,NA,NA,21.563,0,0,1,5
1474167,Cosmos Holdings Inc,Wholesale Trade,20.695,24.012,NA,NA,1.426,NA,0.018,0,1
1495932,Exp World Holdings Inc,"Finance, Insurance, And Real Estate",55.846,25.866,NA,NA,2.739,0,0.077,0,1
1723128,Amneal Pharmaceuticals Inc,Manufacturing,4352.736,3456.373,-138.484,-64.238,544.146,5.721,-1.419,0,1
1491487,Takung Art Co Ltd,Services,24.569,14.1,NA,NA,1.446,-0.146,-0.48,1,5
1582086,Blue Cap Reinsurance,"Finance, Insurance, And Real Estate",163.3,72.6,NA,NA,0,0,0,0,1
1503802,Karyopharm Therapeutics Inc,Manufacturing,341.192,158.022,-149.692,-28.689,3.863,NA,0.026,0.5,3
1575311,Brookfld Dtla Office Tr Inv,"Finance, Insurance, And Real Estate",2795.658,2220.69,NA,NA,0,0,0,0,1
1603291,Dominion Gas Holdings Llc,"Transportation, Communications, Electric, Gas, And Sanitary Services",12351,7954,NA,NA,8267,NA,86,0,1
1399520,One Gp Hospitality (The),Retail Trade,55.979,43.917,2.089,2.531,39.347,0.63,0.713,0,1
1586105,Egalet Corp,Manufacturing,61.933,173.293,-91.262,-4.192,1.059,0,0,0,1
1578732,Marcus & Millichap Inc,"Finance, Insurance, And Real Estate",566.38,156.806,119.446,-2.226,19.55,0,29.963,0,1
1588972,Recro Pharma Inc,Manufacturing,155.493,174.993,-32.126,-30.161,45.64,0,17.436,0,1
1669779,Camping World Holdings Inc,Retail Trade,2806.687,2773.77,NA,NA,359.855,0,30.79,0,1
790359,N B T Bancorp Inc,"Finance, Insurance, And Real Estate",9556.363,8538.454,NA,NA,78.97,NA,24.436,0,1
894671,Ohio Valley Banc Corp,"Finance, Insurance, And Real Estate",1030.493,912.619,NA,NA,14.855,NA,2.255,0,1
1562733,Synergy Chc Corp,Manufacturing,20.011,16.04,NA,NA,0.27,NA,-0.247,0,1
1561743,Kindred Biosciences Inc,Manufacturing,106.482,15.275,NA,NA,26.343,0,0,0,1
1515673,Ultragenyx Pharmaceutical,Manufacturing,719.558,110.65,-205.44,8.343,20.046,0.5,0.514,0.3,2
357173,Old Second Bancorp Inc/Il,"Finance, Insurance, And Real Estate",2676.003,2446.922,NA,NA,42.439,NA,9.924,0,1
716605,Penns Woods Bancorp Inc,"Finance, Insurance, And Real Estate",1684.771,1541.227,NA,NA,27.58,NA,2.819,0,1
1581164,Extended Stay America Inc,Services,3924.21,2613.571,254.172,-0.34,3453.632,NA,42.076,0,1
1591588,A-Mark Precious Metals Inc,Wholesale Trade,743.001,673.893,-3.446,0.035,8.018,-0.027,0.008,0,1
1587246,Cypress Energy Partners Lp,Mining,152.853,98.566,NA,NA,12.722,-0.027,1.318,0,1
1133869,Capricor Therapeutics Inc,Manufacturing,9.247,4.631,NA,NA,0.574,0,0,0,1
1591763,Enable Midstream Partners Lp,"Transportation, Communications, Electric, Gas, And Sanitary Services",12444,4826,NA,NA,10871,NA,-1,0,1
1442626,Bluerock Residential Growth,"Finance, Insurance, And Real Estate",2018.135,1334.32,NA,NA,0,0,0,0,1
805676,Park National Corp,"Finance, Insurance, And Real Estate",7804.308,6971.802,NA,NA,59.771,NA,20.912,0,1
1412270,Care.com Inc,Services,268.067,52.847,5.096,2.522,3.423,0.396,-45.272,0.167,1
1590976,Malibu Boats Inc,Manufacturing,365.768,225.897,NA,NA,40.845,0.756,58.418,0,1
852772,Dennys Corp,Retail Trade,335.349,468.694,NA,NA,140.004,1.042,8.557,0,1
821002,G-Iii Apparel Group Ltd,Manufacturing,2208.058,1019.049,137.748,46.082,86.407,10.989,45.763,0.316,2
854560,Great Southern Bancorp,"Finance, Insurance, And Real Estate",4676.2,4144.223,NA,NA,132.424,NA,14.841,0,1
1577670,Ladder Capital Corp,"Finance, Insurance, And Real Estate",6272.872,4629.237,NA,NA,NA,7.068,6.643,0,1
1592480,Continental Building Prods,Manufacturing,672.381,344.634,95.573,-0.728,288.368,NA,20.601,0,1
1590364,Fortress Trans Infrastr Invs,Services,2638.778,1584.996,NA,NA,2141.063,0.063,1.372,0.455,3
1580905,Installed Bldg Products Inc,Construction,834.658,652.16,72.186,0,90.117,0,17.438,0.053,1
1587732,One Gas Inc,"Transportation, Communications, Electric, Gas, And Sanitary Services",5468.642,3425.986,NA,NA,4283.712,NA,53.531,0,1
1587523,Knowles Corp,Manufacturing,1547.9,336.3,-34.1,95.2,211.7,11.6,-4.5,0.438,3
1591670,Farmland Partners Inc,"Finance, Insurance, And Real Estate",1139.509,535.968,NA,NA,NA,0,0,0,1
1367920,Concert Pharmaceuticls Inc,Manufacturing,192.547,24.807,NA,NA,8.919,NA,0.313,0,1
719220,S & T Bancorp Inc,"Finance, Insurance, And Real Estate",7252.221,6316.46,NA,NA,41.73,NA,17.845,0,1
1579684,New Media Investment Group,Manufacturing,1443.864,725.094,NA,NA,339.608,0,1.912,0,1
1593195,Tribune Publishing Co,Manufacturing,726.627,313.559,NA,NA,144.963,0.039,-12.723,0.167,1
